nf,7436,OR-11,TRUE,'exists-at',sk182,sk179,,,<--,270, BFO-bee-1, mpp,7435,6936,44,,,,,
nf,7435,OR-11,TRUE,'instance-of',sk182,'spatial-region',sk179,,<--,486, BFO-lzw-1, mpp,7385,,,,,,,
nf,7434,OR-11,TRUE,'exists-at',sk9,sk179,,,<--,270, BFO-bee-1, mpp,7433,6936,87,,,,,
nf,7433,OR-11,TRUE,'instance-of',sk9,continuant,sk179,,<--,211, BFO-bdd-1, mpp,7382,,,,,,,
nf,7432,OR-11,TRUE,'instance-of',sk9,'spatial-region',sk179,,<--,486, BFO-lzw-1, mpp,7384,,,,,,,
nf,7431,OR-11,TRUE,'exists-at',sk179,sk179,,,<--,270, BFO-bee-1, mpp,6936,52,,,,,,
nf,7430,OR-11,TRUE,entity,sk179,,,,<--,824, BFO-vgn-1, mpp,7422,,,,,,,
nf,7429,OR-11,TRUE,'has-temporal-part',sk179,sk179,,,<--,662, BFO-boo-1, mpp,7420,,,,,,,
nf,7428,OR-11,TRUE,'has-occurrent-part',sk179,sk179,,,<--,346, BFO-yvi-1, mpp,7427,,,,,,,
nf,7427,OR-11,TRUE,'occurrent-part-of',sk179,sk179,,,<--,350, BFO-hbj-1, mpp,7422,,,,,,,
nf,7426,OR-11,FALSE,'proper-temporal-part-of',sk179,sk179,,,<--,675, BFO-aeu-1, mpt,7424,,,,,,,
nf,7425,OR-11,FALSE,'proper-occurrent-part-of',sk179,sk179,,,<--,353, BFO-okr-1, mpt,7424,,,,,,,
nf,7424,OR-11,TRUE,identical,sk179,sk179,,,<--,670, BFO-zdq-1, mpp,7420,,,,,,,
nf,7423,OR-11,FALSE,'instance-of',sk179,continuant,sk179,,<--,798, BFO-wrf-1, mpt,7422,,,,,,,
nf,7422,OR-11,TRUE,'instance-of',sk179,occurrent,sk179,,<--,793, BFO-ejl-1, mpp,6936,,,,,,,
nf,7421,OR-11,FALSE,precedes,sk179,sk179,,,<--,418, BFO-aou-1, mpt,7420,,,,,,,
nf,7420,OR-11,TRUE,'temporal-part-of',sk179,sk179,,,<--,665, BFO-dbj-2, mpp,6936,,,,,,,
nf,7419,OR-11,FALSE,universal,sk179,,,,<--,786, BFO-qkp-1, mpt,7215,,,,,,,
nf,7418,OR-11,FALSE,'instance-of',sk179,'process-boundary',sk179,,<--,865, BFO-mem-1, mpt,6936,,,,,,,
nf,7417,OR-11,FALSE,'instance-of',sk179,'spatiotemporal-region',sk179,,<--,864, BFO-mem-1, mpt,6936,,,,,,,
