pf,10057,CRT,TRUE,'instance-of',sk176,occurrent,sk176,,<--,793, BFO-ejl-1, mpp,5859,,,,
pf,10056,CRT,TRUE,'temporal-part-of',sk176,sk176,,,<--,665, BFO-dbj-2, mpp,5859,,,,
pf,10055,CRT,TRUE,'continuant-part-of',a,a,sk176,,<--,189, BFO-mcd-1, mpp,6306,,,,
pf,10054,CRT,TRUE,'occurrent-part-of',sk193,sk193,,,<--,369, BFO-cmy-2, mpp,10051,7315,7315,,
pf,10053,CRT,TRUE,'exists-at',sk193,sk193,,,<--,270, BFO-bee-1, mpp,48,7315,7315,,
pf,10052,CRT,TRUE,'instance-of',sk193,occurrent,sk193,,<--,793, BFO-ejl-1, mpp,7315,,,,
pf,10051,CRT,TRUE,'temporal-part-of',sk193,sk193,,,<--,665, BFO-dbj-2, mpp,7315,,,,
pf,10050,CRT,TRUE,'continuant-part-of',a,a,sk193,,<--,189, BFO-mcd-1, mpp,7828,,,,
pf,7829,CRT,TRUE,overlaps,a,a,sk193,,<--,374, BFO-ptm-1, ffaa,7821,7762,,,
pf,7828,CRT,TRUE,'instance-of',a,'independent-continuant',sk193,,<--,374, BFO-ptm-1, ffaa,7827,6306,7765,7763,
pf,7827,CRT,TRUE,'exists-at',a,sk193,,,<--,374, BFO-ptm-1, ffaa,7826,84,7818,7315,36
pf,7826,CRT,TRUE,'instance-of',a,continuant,sk193,,<--,374, BFO-ptm-1, ffaa,7818,7762,,,
nf,7825,OR-11,TRUE,'has-continuant-part',a,a,sk193,,<--,187, BFO-eld-1, mpp,7821,,,,
nf,7824,OR-11,TRUE,overlaps,a,a,sk193,,<--,3, BFOCE-unmarked, mpp,7821,,,,
nf,7823,OR-11,FALSE,'instance-of',a,occurrent,sk193,,<--,798, BFO-wrf-1, mpt,7816,,,,
nf,7822,OR-11,FALSE,'proper-continuant-part-of',a,a,sk193,,<--,197, BFO-sls-1, mpt,7821,,,,
nf,7821,OR-11,TRUE,'continuant-part-of',a,a,sk193,,<--,189, BFO-mcd-1, mpp,7818,,,,
nf,7820,OR-11,FALSE,'instance-of',a,'generically-dependent-continuant',sk193,,<--,859, BFO-cig-1, mpt,7818,,,,
nf,7819,OR-11,FALSE,'instance-of',a,'specifically-dependent-continuant',sk193,,<--,857, BFO-cig-1, mpt,7818,,,,
nf,7818,OR-11,TRUE,'instance-of',a,'independent-continuant',sk193,,<--,841, BFO-otk-1, mpp,7817,6306,,,
nf,7817,OR-11,TRUE,'exists-at',a,sk193,,,<--,270, BFO-bee-1, mpp,7816,7315,84,,
nf,7816,OR-11,TRUE,'instance-of',a,continuant,sk193,,<--,211, BFO-bdd-1, mpp,7762,,,,
nf,7815,OR-11,TRUE,'exists-at',sk196,sk193,,,<--,270, BFO-bee-1, mpp,7814,7315,40,,
nf,7814,OR-11,TRUE,'instance-of',sk196,'spatial-region',sk193,,<--,486, BFO-lzw-1, mpp,7764,,,,
nf,7813,OR-11,TRUE,'exists-at',sk12,sk193,,,<--,270, BFO-bee-1, mpp,7812,7315,84,,
nf,7812,OR-11,TRUE,'instance-of',sk12,continuant,sk193,,<--,211, BFO-bdd-1, mpp,7761,,,,
nf,7811,OR-11,TRUE,'instance-of',sk12,'spatial-region',sk193,,<--,486, BFO-lzw-1, mpp,7763,,,,
nf,7810,OR-11,TRUE,'exists-at',sk193,sk193,,,<--,270, BFO-bee-1, mpp,7315,48,,,
nf,7809,OR-11,TRUE,entity,sk193,,,,<--,824, BFO-vgn-1, mpp,7801,,,,
nf,7808,OR-11,TRUE,'has-temporal-part',sk193,sk193,,,<--,662, BFO-boo-1, mpp,7799,,,,
nf,7807,OR-11,TRUE,'has-occurrent-part',sk193,sk193,,,<--,346, BFO-yvi-1, mpp,7806,,,,
nf,7806,OR-11,TRUE,'occurrent-part-of',sk193,sk193,,,<--,350, BFO-hbj-1, mpp,7801,,,,
nf,7805,OR-11,FALSE,'proper-temporal-part-of',sk193,sk193,,,<--,675, BFO-aeu-1, mpt,7803,,,,
nf,7804,OR-11,FALSE,'proper-occurrent-part-of',sk193,sk193,,,<--,353, BFO-okr-1, mpt,7803,,,,
nf,7803,OR-11,TRUE,identical,sk193,sk193,,,<--,670, BFO-zdq-1, mpp,7799,,,,
nf,7802,OR-11,FALSE,'instance-of',sk193,continuant,sk193,,<--,798, BFO-wrf-1, mpt,7801,,,,
nf,7801,OR-11,TRUE,'instance-of',sk193,occurrent,sk193,,<--,793, BFO-ejl-1, mpp,7315,,,,
nf,7800,OR-11,FALSE,precedes,sk193,sk193,,,<--,418, BFO-aou-1, mpt,7799,,,,
nf,7799,OR-11,TRUE,'temporal-part-of',sk193,sk193,,,<--,665, BFO-dbj-2, mpp,7315,,,,
nf,7798,OR-11,FALSE,universal,sk193,,,,<--,786, BFO-qkp-1, mpt,7594,,,,
nf,7797,OR-11,FALSE,'instance-of',sk193,'process-boundary',sk193,,<--,865, BFO-mem-1, mpt,7315,,,,
nf,7796,OR-11,FALSE,'instance-of',sk193,'spatiotemporal-region',sk193,,<--,864, BFO-mem-1, mpt,7315,,,,
nf,7795,OR-11,FALSE,'instance-of',sk193,process,sk193,,<--,862, BFO-mem-1, mpt,7315,,,,
nf,7794,OR-11,FALSE,identical,sk194,sk193,,,<--,264, BFO-nis-1, mpt,7315,,,,
nf,7793,OR-11,TRUE,'has-continuant-part',a,a,sk176,,<--,187, BFO-eld-1, mpp,7790,,,,
nf,7792,OR-11,FALSE,'instance-of',a,occurrent,sk176,,<--,798, BFO-wrf-1, mpt,6304,,,,
nf,7791,OR-11,FALSE,'proper-continuant-part-of',a,a,sk176,,<--,197, BFO-sls-1, mpt,7790,,,,
nf,7790,OR-11,TRUE,'continuant-part-of',a,a,sk176,,<--,189, BFO-mcd-1, mpp,6306,,,,
nf,7789,OR-11,FALSE,'instance-of',a,'generically-dependent-continuant',sk176,,<--,859, BFO-cig-1, mpt,6306,,,,
nf,7788,OR-11,FALSE,'instance-of',a,'specifically-dependent-continuant',sk176,,<--,857, BFO-cig-1, mpt,6306,,,,
nf,7787,OR-11,TRUE,'exists-at',sk179,sk176,,,<--,270, BFO-bee-1, mpp,7786,5859,40,,
nf,7786,OR-11,TRUE,'instance-of',sk179,'spatial-region',sk176,,<--,486, BFO-lzw-1, mpp,7759,,,,
nf,7785,OR-11,TRUE,'exists-at',sk4,sk176,,,<--,270, BFO-bee-1, mpp,7784,5859,84,,
nf,7784,OR-11,TRUE,'instance-of',sk4,continuant,sk176,,<--,211, BFO-bdd-1, mpp,7756,,,,
nf,7783,OR-11,TRUE,'instance-of',sk4,'spatial-region',sk176,,<--,486, BFO-lzw-1, mpp,7758,,,,
nf,7782,OR-11,TRUE,'exists-at',sk176,sk176,,,<--,270, BFO-bee-1, mpp,5859,48,,,
nf,7781,OR-11,TRUE,entity,sk176,,,,<--,824, BFO-vgn-1, mpp,7773,,,,
nf,7780,OR-11,TRUE,'has-temporal-part',sk176,sk176,,,<--,662, BFO-boo-1, mpp,7771,,,,
nf,7779,OR-11,TRUE,'has-occurrent-part',sk176,sk176,,,<--,346, BFO-yvi-1, mpp,7778,,,,
nf,7778,OR-11,TRUE,'occurrent-part-of',sk176,sk176,,,<--,350, BFO-hbj-1, mpp,7773,,,,
nf,7777,OR-11,FALSE,'proper-temporal-part-of',sk176,sk176,,,<--,675, BFO-aeu-1, mpt,7775,,,,
nf,7776,OR-11,FALSE,'proper-occurrent-part-of',sk176,sk176,,,<--,353, BFO-okr-1, mpt,7775,,,,
nf,7775,OR-11,TRUE,identical,sk176,sk176,,,<--,670, BFO-zdq-1, mpp,7771,,,,
nf,7774,OR-11,FALSE,'instance-of',sk176,continuant,sk176,,<--,798, BFO-wrf-1, mpt,7773,,,,
nf,7773,OR-11,TRUE,'instance-of',sk176,occurrent,sk176,,<--,793, BFO-ejl-1, mpp,5859,,,,
